line_id,date,recon_error,threshold,is_anomaly
L-09,2022-06-02,0.632612,0.885823,0
L-09,2022-06-03,0.641826,0.885823,0
L-09,2022-06-04,1.152409,0.885823,1
L-09,2022-06-05,1.117038,0.885823,1
L-09,2022-06-06,1.084341,0.885823,1
L-09,2022-06-07,1.080484,0.885823,1
L-09,2022-06-08,1.073295,0.885823,1
L-09,2022-06-09,1.041171,0.885823,1
L-09,2022-06-10,1.05488,0.885823,1
L-09,2022-06-11,1.006014,0.885823,1
L-09,2022-06-12,1.017246,0.885823,1
L-09,2022-06-13,1.004299,0.885823,1
L-09,2022-06-14,1.030793,0.885823,1
L-09,2022-06-15,1.019688,0.885823,1
L-09,2022-06-16,1.030148,0.885823,1
L-09,2022-06-17,1.036073,0.885823,1
L-09,2022-06-18,1.158757,0.885823,1
L-09,2022-06-19,1.158139,0.885823,1
L-09,2022-06-20,1.140469,0.885823,1
L-09,2022-06-21,1.155823,0.885823,1
L-09,2022-06-22,1.274495,0.885823,1
L-09,2022-06-23,1.300264,0.885823,1
L-09,2022-06-24,1.30082,0.885823,1
L-09,2022-06-25,1.286052,0.885823,1
L-09,2022-06-26,1.306008,0.885823,1
L-09,2022-06-27,1.273686,0.885823,1
L-09,2022-06-28,1.251539,0.885823,1
L-09,2022-06-29,1.24738,0.885823,1
L-09,2022-06-30,1.245368,0.885823,1
L-09,2022-07-01,1.221231,0.885823,1
L-09,2022-07-02,1.172782,0.885823,1
L-09,2022-07-03,1.210633,0.885823,1
L-09,2022-07-04,0.714708,0.885823,0
L-09,2022-07-05,0.727366,0.885823,0
L-09,2022-07-06,0.74545,0.885823,0
L-09,2022-07-07,0.750649,0.885823,0
L-09,2022-07-08,0.753433,0.885823,0
L-09,2022-07-09,0.772571,0.885823,0
L-09,2022-07-10,0.776165,0.885823,0
L-09,2022-07-11,0.798519,0.885823,0
L-09,2022-07-12,0.798299,0.885823,0
L-09,2022-07-13,0.802023,0.885823,0
L-09,2022-07-14,0.857003,0.885823,0
L-09,2022-07-15,0.846028,0.885823,0
L-09,2022-07-16,0.828933,0.885823,0
L-09,2022-07-17,0.840025,0.885823,0
L-09,2022-07-18,0.693077,0.885823,0
L-09,2022-07-19,0.708032,0.885823,0
L-09,2022-07-20,0.707143,0.885823,0
L-09,2022-07-21,0.689428,0.885823,0
L-09,2022-07-22,0.605277,0.885823,0
L-09,2022-07-23,0.606484,0.885823,0
L-09,2022-07-24,0.602609,0.885823,0
L-09,2022-07-25,0.586392,0.885823,0
L-09,2022-07-26,0.599457,0.885823,0
L-09,2022-07-27,0.640926,0.885823,0
L-09,2022-07-28,0.66962,0.885823,0
L-09,2022-07-29,0.708248,0.885823,0
L-09,2022-07-30,0.699008,0.885823,0
L-09,2022-07-31,0.689448,0.885823,0
L-09,2022-08-01,0.659584,0.885823,0
L-09,2022-08-02,0.653358,0.885823,0
L-09,2022-08-03,0.637573,0.885823,0
L-09,2022-08-04,0.622561,0.885823,0
L-09,2022-08-05,0.655078,0.885823,0
L-09,2022-08-06,0.657726,0.885823,0
L-09,2022-08-07,0.646364,0.885823,0
L-09,2022-08-08,0.64205,0.885823,0
L-09,2022-08-09,0.650526,0.885823,0
L-09,2022-08-10,0.61514,0.885823,0
L-09,2022-08-11,0.634288,0.885823,0
L-09,2022-08-12,0.649034,0.885823,0
L-09,2022-08-13,0.537708,0.885823,0
L-09,2022-08-14,0.539357,0.885823,0
L-09,2022-08-15,0.524049,0.885823,0
L-09,2022-08-16,0.533298,0.885823,0
L-09,2022-08-17,0.538149,0.885823,0
L-09,2022-08-18,0.540962,0.885823,0
L-09,2022-08-19,0.544554,0.885823,0
L-09,2022-08-20,0.538612,0.885823,0
L-09,2022-08-21,0.542306,0.885823,0
L-09,2022-08-22,0.556487,0.885823,0
L-09,2022-08-23,0.541516,0.885823,0
L-09,2022-08-24,0.543611,0.885823,0
L-09,2022-08-25,0.544317,0.885823,0
L-09,2022-08-26,0.548273,0.885823,0
L-09,2022-08-27,0.557968,0.885823,0
L-09,2022-08-28,0.581582,0.885823,0
L-09,2022-08-29,0.576871,0.885823,0
L-09,2022-08-30,0.561051,0.885823,0
L-09,2022-08-31,0.561816,0.885823,0
L-09,2022-09-01,0.555604,0.885823,0
L-09,2022-09-02,0.536471,0.885823,0
L-09,2022-09-03,0.550555,0.885823,0
L-09,2022-09-04,0.541288,0.885823,0
L-09,2022-09-05,0.536237,0.885823,0
L-09,2022-09-06,0.52955,0.885823,0
L-09,2022-09-07,0.520219,0.885823,0
L-09,2022-09-08,0.494822,0.885823,0
L-09,2022-09-09,0.483712,0.885823,0
L-09,2022-09-10,0.488194,0.885823,0
L-09,2022-09-11,0.479144,0.885823,0
L-09,2022-09-12,0.484825,0.885823,0
L-09,2022-09-13,0.472266,0.885823,0
L-09,2022-09-14,0.471228,0.885823,0
L-09,2022-09-15,0.474947,0.885823,0
L-09,2022-09-16,0.486522,0.885823,0
L-09,2022-09-17,0.471103,0.885823,0
L-09,2022-09-18,0.508001,0.885823,0
L-09,2022-09-19,0.555961,0.885823,0
L-09,2022-09-20,0.567987,0.885823,0
L-09,2022-09-21,0.571711,0.885823,0
L-09,2022-09-22,0.594716,0.885823,0
L-09,2022-09-23,0.593982,0.885823,0
L-09,2022-09-24,0.601319,0.885823,0
L-09,2022-09-25,0.59065,0.885823,0
L-09,2022-09-26,0.566065,0.885823,0
L-09,2022-09-27,0.557174,0.885823,0
L-09,2022-09-28,0.544724,0.885823,0
L-09,2022-09-29,0.540591,0.885823,0
L-09,2022-09-30,0.53886,0.885823,0
L-09,2022-10-01,0.523621,0.885823,0
L-09,2022-10-02,0.509555,0.885823,0
L-09,2022-10-03,0.531434,0.885823,0
L-09,2022-10-04,0.543706,0.885823,0
L-09,2022-10-05,0.622504,0.885823,0
L-09,2022-10-06,0.592705,0.885823,0
L-09,2022-10-07,0.578627,0.885823,0
L-09,2022-10-08,0.577404,0.885823,0
L-09,2022-10-09,0.588675,0.885823,0
L-09,2022-10-10,0.571169,0.885823,0
L-09,2022-10-11,0.568761,0.885823,0
L-09,2022-10-12,0.604203,0.885823,0
L-09,2022-10-13,0.590081,0.885823,0
L-09,2022-10-14,0.61327,0.885823,0
L-09,2022-10-15,0.61716,0.885823,0
L-09,2022-10-16,0.606849,0.885823,0
L-09,2022-10-17,0.630431,0.885823,0
L-09,2022-10-18,0.594084,0.885823,0
L-09,2022-10-19,0.586784,0.885823,0
L-09,2022-10-20,0.651068,0.885823,0
L-09,2022-10-21,0.648362,0.885823,0
L-09,2022-10-22,0.644096,0.885823,0
L-09,2022-10-23,0.660456,0.885823,0
L-09,2022-10-24,0.666077,0.885823,0
L-09,2022-10-25,0.663303,0.885823,0
L-09,2022-10-26,0.668925,0.885823,0
L-09,2022-10-27,0.651139,0.885823,0
L-09,2022-10-28,0.667052,0.885823,0
L-09,2022-10-29,1.26885,0.885823,1
L-09,2022-10-30,1.270252,0.885823,1
L-09,2022-10-31,1.256519,0.885823,1
L-09,2022-11-01,1.271007,0.885823,1
L-09,2022-11-02,1.272542,0.885823,1
L-09,2022-11-03,1.29503,0.885823,1
L-09,2022-11-04,1.243585,0.885823,1
L-09,2022-11-05,1.241439,0.885823,1
L-09,2022-11-06,1.244921,0.885823,1
L-09,2022-11-07,1.252883,0.885823,1
L-09,2022-11-08,1.256289,0.885823,1
L-09,2022-11-09,1.238549,0.885823,1
L-09,2022-11-10,1.231057,0.885823,1
L-09,2022-11-11,1.226418,0.885823,1
L-09,2022-11-12,1.253341,0.885823,1
L-09,2022-11-13,1.274118,0.885823,1
L-09,2022-11-14,1.286792,0.885823,1
L-09,2022-11-15,1.267722,0.885823,1
L-09,2022-11-16,1.23578,0.885823,1
L-09,2022-11-17,1.243024,0.885823,1
L-09,2022-11-18,1.260655,0.885823,1
L-09,2022-11-19,1.209049,0.885823,1
L-09,2022-11-20,1.203904,0.885823,1
L-09,2022-11-21,1.219167,0.885823,1
L-09,2022-11-22,1.255595,0.885823,1
L-09,2022-11-23,1.276046,0.885823,1
L-09,2022-11-24,1.281787,0.885823,1
L-09,2022-11-25,1.308964,0.885823,1
L-09,2022-11-26,1.323465,0.885823,1
L-09,2022-11-27,1.318435,0.885823,1
L-09,2022-11-28,0.737431,0.885823,0
L-09,2022-11-29,0.730639,0.885823,0
L-09,2022-11-30,0.739049,0.885823,0
L-09,2022-12-01,0.745933,0.885823,0
L-09,2022-12-02,0.729958,0.885823,0
L-09,2022-12-03,0.711459,0.885823,0
L-09,2022-12-04,0.708025,0.885823,0
L-09,2022-12-05,0.720396,0.885823,0
L-09,2022-12-06,0.7097,0.885823,0
L-09,2022-12-07,0.715963,0.885823,0
L-09,2022-12-08,0.742854,0.885823,0
L-09,2022-12-09,0.738472,0.885823,0
L-09,2022-12-10,0.745546,0.885823,0
L-09,2022-12-11,0.738835,0.885823,0
L-09,2022-12-12,0.730849,0.885823,0
L-09,2022-12-13,0.694262,0.885823,0
L-09,2022-12-14,0.69624,0.885823,0
L-09,2022-12-15,0.704566,0.885823,0
L-09,2022-12-16,0.667652,0.885823,0
L-09,2022-12-17,0.658721,0.885823,0
L-09,2022-12-18,0.645813,0.885823,0
L-09,2022-12-19,0.652227,0.885823,0
L-09,2022-12-20,0.6731,0.885823,0
L-09,2022-12-21,0.696663,0.885823,0
L-09,2022-12-22,0.665876,0.885823,0
L-09,2022-12-23,0.648994,0.885823,0
L-09,2022-12-24,0.6342,0.885823,0
L-09,2022-12-25,0.591098,0.885823,0
L-09,2022-12-26,0.592846,0.885823,0
L-09,2022-12-27,0.618583,0.885823,0
L-09,2022-12-28,0.616303,0.885823,0
L-09,2022-12-29,0.615482,0.885823,0
L-09,2022-12-30,0.611815,0.885823,0
L-09,2022-12-31,0.588779,0.885823,0
L-10,2022-01-30,0.508287,1.256883,0
L-10,2022-01-31,0.524962,1.256883,0
L-10,2022-02-01,0.533388,1.256883,0
L-10,2022-02-02,0.53389,1.256883,0
L-10,2022-02-03,0.479031,1.256883,0
L-10,2022-02-04,0.466523,1.256883,0
L-10,2022-02-05,0.479711,1.256883,0
